firm,q,medium firm,big firm,epsp,profit margin,book/market,short leverage,f1 stock return
AAL,2022q1,0,1,-0.13800761745794438,-0.18372850882121586,,0.03534072194774558,-0.4021687883074022
AAWW,2022q1,1,0,0.03230256250766132,0.07859087736078275,0.09012102893806817,0.10478547815699363,-0.09396564381148141
ABM,2022q1,1,0,0.02468613380133458,0.03925214337361843,-0.620569791399868,0.013873781881950764,-0.008218849468680603
ABNB,2022q1,0,1,-0.00017265764409093092,-0.012453800258062463,-3.1343839890316683,0.0037217222286603548,-0.41831004309781894
ABSI,2022q1,0,0,-0.037712553374057566,-5.448682236983073,-0.8315457339481572,0.016970110757093006,
ACCD,2022q1,1,0,-0.029389623060996142,-0.36857374461367803,-0.3176651275728702,0.005125516421644319,-0.8637451666359787
ACHC,2022q1,0,1,0.010326627467859648,0.09865678104217444,-0.827813181333237,0.009601544189752327,0.07776892430278877
ACIW,2022q1,1,0,0.004275043953902843,0.047944781478271636,-1.0847313001705148,0.015816498958867074,-0.30290791599353795
ACM,2022q1,0,1,0.0038278314242785197,0.012931369797283968,-1.410338855728209,0.0038227723441713393,0.03405147401045132
ACVA,2022q1,1,0,-0.012744632288145492,-0.28617862513947506,-1.4671781273482443,0.0013665651634776877,-0.7448302770191182
ADBE,2022q1,0,1,0.005880701196973529,0.2970436414828719,-2.7490862416784907,0.022790267939636587,-0.37494023632265555
ADP,2022q1,0,1,0.009714670186732239,0.20573897629071572,-3.1265406287775614,0.2509000249909852,0.07746137198719029
ADSK,2022q1,0,1,0.0019128395969987592,0.07353912182238362,-3.9220075745413037,0.05069247571687503,-0.41089414182939354
ADT,2022q1,0,1,0.008871119135222216,0.033432659199208674,-0.5736676047483965,0.007426660384285875,-0.4191364250114651
ADUS,2022q1,1,0,0.005691583989985908,0.037373033172427794,-0.932356318671692,0.0,-0.04539202200825303
AGL,2022q1,0,1,0.00012094565731198501,0.001882331336225696,-2.213738355324837,0.0026951112299355706,-0.4619176731575056
AGTI,2022q1,1,0,0.007189913239285134,0.06755783782315143,-1.0945001421311125,0.02944684936562749,-0.06218564243255598
AGYS,2022q1,0,0,0.0020109423670393203,0.04257055715451695,-2.3150071667298917,0.023594288435856967,-0.16880604888341824
AI,2022q1,1,0,-0.016336597246215313,-0.5653619594972267,-0.8552247527255235,0.0,-0.707980169518631
AIKI,2022q1,0,0,-0.08797460404379014,,0.8609931937434642,0.0,-0.6373471018501444
AINC,2022q1,0,0,0.017566295129722385,0.007076792152822879,0.8609931937434642,0.023244665232476616,-0.3851936619718309
AIRS,2022q1,0,0,-0.0009104556888329623,-0.017524782520736394,-2.136486992614106,0.022467897832832276,
AIRT,2022q1,0,0,0.06640114281775442,0.08449170830336139,-0.9341446415514799,0.038174557680913684,-0.3338729259409146
AKAM,2022q1,0,1,0.006224630392230757,0.13186897095879255,-1.4932418272352919,0.031161956501973377,-0.21672384219554028
ALF,2022q1,0,0,-0.199525861705105,-5.448682236983073,-1.9408176116118148,0.013109681408873471,-0.920516304347826
ALGT,2022q1,1,0,-0.002679507424818808,-0.015758564632910026,-0.8780907611741284,0.03775795760466073,-0.41706185567010307
ALK,2022q1,0,1,-0.01957783122595355,-0.08506841165972635,-0.6972875980498918,0.03969035890218156,-0.33593102304758754
ALKT,2022q1,1,0,-0.010355158089461186,-0.2993078812234874,-1.3308259473674382,0.004351327328888404,-0.6105971404541631
ALR,2022q1,0,0,-0.13874159407833253,-0.05619632327036034,0.8609931937434642,0.00450727671702777,-0.7916666666666666
ALRM,2022q1,1,0,0.00271485600347451,0.044193597063820055,-1.781713224116823,0.00853534075229223,-0.2696576151121606
ALTR,2022q1,0,1,0.0022568201345260722,0.07214875360649889,-2.11140141193444,0.20828886203459498,-0.2387994780339278
AM,2022q1,0,1,0.015414802951501634,0.3663308786174259,-0.8318537722705267,0.0,-0.05027326121413504
AMC,2022q1,0,1,-0.03041873519468156,-0.42942598956344663,,0.0604423221915054,-0.7609386026859943
AMCX,2022q1,1,0,0.06051316861784124,0.146299200878458,-0.566627100188118,0.012544232481015643,-0.5640718562874251
AMED,2022q1,0,1,0.005651644026008255,0.05808453628289045,-1.703013316017537,0.02316610004653132,-0.5708161515535051
AMN,2022q1,1,0,0.03000521879918966,0.09404471903425231,-1.5044664562612244,0.0027589735128692584,0.13126417818106814
AMPL,2022q1,1,0,-0.01095341354211677,-0.4187317440874399,-1.9018625850486857,0.0,
AMS,2022q1,0,0,0.019004342032941803,0.055498246337940996,0.5575687340951028,0.04546378940232742,-0.24232081911262796
AMST,2022q1,0,0,-0.15104748951133168,-5.448682236983073,-0.3896307298130432,0.0,-0.8327272727272728
AMSWA,2022q1,0,0,0.004203955165098428,0.09067916846585651,-1.6758658399560356,0.003246439129266326,-0.2491839514407186
AMWL,2022q1,1,0,-0.06317861171703709,-1.0903755137626105,0.08656035256964563,0.0019555029453707526,-0.656597774244833
ANGI,2022q1,1,0,-0.011739587490919318,-0.07655465094151445,-0.9369440218401434,0.0,-0.6612426035502958
ANSS,2022q1,0,1,0.00256194766194327,0.16700033170460882,-1.8483652343232073,0.0015074713584571952,-0.310522676194318
APDN,2022q1,0,0,-0.1097785423051588,-0.2860913956266079,-0.7396076568315824,0.0,-0.8912812960235641
APEI,2022q1,0,0,0.013315659006955296,0.034462703638842754,0.055071484521827016,0.030030722961849082,-0.42978122794636553
APP,2022q1,0,1,-0.0055688406999547775,-0.1842870642335323,-2.330701656377458,0.007377100084268483,-0.541838499401357
APPF,2022q1,1,0,-0.0036222499878235063,-0.1356841665400395,-2.614472916390138,0.0,-0.3580736543909348
APPN,2022q1,1,0,-0.005270375391835428,-0.20263245409833197,-2.8957644152491433,0.01618863591588675,-0.6561887477313975
ARCB,2022q1,1,0,0.03513373780343003,0.052108722063346304,-0.7001284055895612,0.05154231413418751,0.21459100780760185
ARKR,2022q1,0,0,0.016082948618200938,0.026650836154195928,-0.19235110151685558,0.07504098150709493,-0.08162909259344321
ARMK,2022q1,0,1,0.003702338010039932,0.009259870862257479,-1.2013701220673798,0.00916947581112128,-0.1671624444911925
AROC,2022q1,1,0,0.0012011586798406227,0.008727136272128438,-0.4962143705761283,0.0,-0.006045247962271178
ASAN,2022q1,0,1,-0.011910210077811302,-0.8043752065672761,-3.6133778512302084,0.017782712312686078,-0.7165887473802999
ASGN,2022q1,0,1,0.011092225545461853,0.061228230980751606,-1.1699480870855083,0.006587992667277727,-0.06891571236975143
ASUR,2022q1,0,0,-0.02530849818822715,-0.12398799983561419,0.2618371845012627,0.2509000249909852,-0.35738444193912056
ATEX,2022q1,1,0,-0.01035520982518039,-5.448682236983073,-1.7423575133456333,0.005437988232078376,-0.3153858976496083
ATGE,2022q1,1,0,0.2364163450274526,0.6520954223081883,0.0077657172232118085,0.014590190026318332,0.009259259259259212
ATNI,2022q1,0,0,-0.0015151360829839145,-0.005511019131607555,0.10298851010063001,0.016329845785553215,0.04758946948851453
ATSG,2022q1,1,0,0.020056983584064953,0.1024904293417857,-0.6062645418288813,0.005923766531008123,0.23676280671545416
ATUS,2022q1,0,1,0.02257182958240164,0.08115580472662545,,0.02924843070877495,-0.7290568248388987
ATVI,2022q1,0,1,0.006327643096548561,0.2234162895927602,-1.2530194211462828,0.0,-0.17935029716422224
AUD,2022q1,0,0,-0.026589664374107484,-0.04022230697978532,0.4350537362046865,0.01178912987789258,-0.7813921113689094
AUTO,2022q1,0,0,-0.13269392876711822,-0.2259232060428032,-1.2865120505958902,0.2509000249909852,-0.8781730769230769
AUUD,2022q1,0,0,-0.06921747545313985,,-1.1632112624061703,0.0,-0.8449822695035462
AVAH,2022q1,0,0,0.040216717921724855,0.056231050264796884,0.05561724843850307,0.06830093403742125,-0.8172999191592563
AVDX,2022q1,1,0,-0.015870257701984213,-0.35317332134881957,-0.8100308853574343,0.2509000249909852,
AVID,2022q1,1,0,0.006794646626652724,0.10517739868255024,,0.03553142097124929,-0.3371647509578544
AVLR,2022q1,0,1,-0.0037396955579377155,-0.15917958245734123,-2.1284202969190336,0.004430993089266539,-0.5636588380716935
AVYA,2022q1,1,0,-0.0009293368720023881,-0.0013966480446927375,-0.6477596388694695,0.0,-0.9167286245353159
AWRE,2022q1,0,0,-0.019699113370476713,-0.2725916453537937,-0.4676956917783048,0.0,-0.35675675675675683
AWX,2022q1,0,0,-0.09882044622673967,-0.0881962401285904,0.8609931937434642,0.023100505005533435,-0.44562899786780386
